CRASH DATE,CRASH TIME,ZIP CODE,LATITUDE,LONGITUDE,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,YearMonth,CONTRIBUTING FACTOR VEHICLE 1_Aggressive Driving/Road Rage,CONTRIBUTING FACTOR VEHICLE 1_Alcohol Involvement,CONTRIBUTING FACTOR VEHICLE 1_Backing Unsafely,CONTRIBUTING FACTOR VEHICLE 1_Brakes Defective,CONTRIBUTING FACTOR VEHICLE 1_Cell Phone (hand-Held),CONTRIBUTING FACTOR VEHICLE 1_Driver Inattention/Distraction,CONTRIBUTING FACTOR VEHICLE 1_Driver Inexperience,CONTRIBUTING FACTOR VEHICLE 1_Drugs (illegal),CONTRIBUTING FACTOR VEHICLE 1_Failure to Yield Right-of-Way,CONTRIBUTING FACTOR VEHICLE 1_Fatigued/Drowsy,CONTRIBUTING FACTOR VEHICLE 1_Following Too Closely,CONTRIBUTING FACTOR VEHICLE 1_Glare,CONTRIBUTING FACTOR VEHICLE 1_Illnes,CONTRIBUTING FACTOR VEHICLE 1_Lost Consciousness,CONTRIBUTING FACTOR VEHICLE 1_Obstruction/Debris,CONTRIBUTING FACTOR VEHICLE 1_Other Vehicular,CONTRIBUTING FACTOR VEHICLE 1_Passenger Distraction,CONTRIBUTING FACTOR VEHICLE 1_Passing Too Closely,CONTRIBUTING FACTOR VEHICLE 1_Passing or Lane Usage Improper,CONTRIBUTING FACTOR VEHICLE 1_Pavement Slippery,CONTRIBUTING FACTOR VEHICLE 1_Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,CONTRIBUTING FACTOR VEHICLE 1_Reaction to Uninvolved Vehicle,CONTRIBUTING FACTOR VEHICLE 1_Tire Failure/Inadequate,CONTRIBUTING FACTOR VEHICLE 1_Traffic Control Disregarded,CONTRIBUTING FACTOR VEHICLE 1_Turning Improperly,CONTRIBUTING FACTOR VEHICLE 1_Unsafe Lane Changing,CONTRIBUTING FACTOR VEHICLE 1_Unsafe Speed,CONTRIBUTING FACTOR VEHICLE 1_Unspecified,CONTRIBUTING FACTOR VEHICLE 1_View Obstructed/Limited,CONTRIBUTING FACTOR VEHICLE 2_Driver Inattention/Distraction,CONTRIBUTING FACTOR VEHICLE 2_Driver Inexperience,CONTRIBUTING FACTOR VEHICLE 2_Failure to Yield Right-of-Way,CONTRIBUTING FACTOR VEHICLE 2_Following Too Closely,CONTRIBUTING FACTOR VEHICLE 2_Glare,CONTRIBUTING FACTOR VEHICLE 2_Lost Consciousness,CONTRIBUTING FACTOR VEHICLE 2_Other Vehicular,CONTRIBUTING FACTOR VEHICLE 2_Traffic Control Disregarded,CONTRIBUTING FACTOR VEHICLE 2_Turning Improperly,CONTRIBUTING FACTOR VEHICLE 2_Unsafe Lane Changing,CONTRIBUTING FACTOR VEHICLE 2_Unsafe Speed,CONTRIBUTING FACTOR VEHICLE 2_Unspecified,CONTRIBUTING FACTOR VEHICLE 2_View Obstructed/Limited,CONTRIBUTING FACTOR VEHICLE 3_Other Vehicular,CONTRIBUTING FACTOR VEHICLE 3_Unspecified,VEHICLE TYPE CODE 1_AMBULENCE,VEHICLE TYPE CODE 1_Bike,VEHICLE TYPE CODE 1_Box Truck,VEHICLE TYPE CODE 1_Bus,VEHICLE TYPE CODE 1_Convertible,VEHICLE TYPE CODE 1_Dump,VEHICLE TYPE CODE 1_E-Scooter,VEHICLE TYPE CODE 1_Moped,VEHICLE TYPE CODE 1_Motorcycle,VEHICLE TYPE CODE 1_Pick-up Truck,VEHICLE TYPE CODE 1_Sedan,VEHICLE TYPE CODE 1_Station Wagon/Sport Utility Vehicle,VEHICLE TYPE CODE 1_Taxi,VEHICLE TYPE CODE 1_Van,VEHICLE TYPE CODE 2_Ambulance,VEHICLE TYPE CODE 2_Bike,VEHICLE TYPE CODE 2_Bus,VEHICLE TYPE CODE 2_Convertible,VEHICLE TYPE CODE 2_E-Scooter,VEHICLE TYPE CODE 2_Motorcycle,VEHICLE TYPE CODE 2_Pick-up Truck,VEHICLE TYPE CODE 2_Sedan,VEHICLE TYPE CODE 2_Station Wagon/Sport Utility Vehicle,VEHICLE TYPE CODE 2_Taxi,VEHICLE TYPE CODE 2_Truck,VEHICLE TYPE CODE 2_Van,VEHICLE TYPE CODE 3_Bus,VEHICLE TYPE CODE 3_Sedan,VEHICLE TYPE CODE 3_Station Wagon/Sport Utility Vehicle,VEHICLE TYPE CODE 3_Taxi,VEHICLE TYPE CODE 3_Van,VEHICLE TYPE CODE 4_Bus,VEHICLE TYPE CODE 4_Pick-up Truck,VEHICLE TYPE CODE 4_Sedan,VEHICLE TYPE CODE 4_Station Wagon/Sport Utility Vehicle,VEHICLE TYPE CODE 4_Truck,BOROUGH_BRONX,BOROUGH_BROOKLYN,BOROUGH_MANHATTAN,BOROUGH_QUEENS,BOROUGH_STATEN ISLAND,VEHICLE TYPE CODE 5_Sedan,VEHICLE TYPE CODE 5_Station Wagon/Sport Utility Vehicle,VEHICLE TYPE CODE 5_Van
2020-07-26,19:20:00,11423.0,40.724693,-73.76481,FRANCIS LEWIS BOULEVARD,EPSOM COURSE,,0,1,0,0,0,0,0,1,2020-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2020-07-25,21:25:00,11211.0,40.714825,-73.95882,METROPOLITAN AVENUE,DRIGGS AVENUE,,0,1,0,0,0,0,0,1,2020-07,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020-07-18,17:30:00,11222.0,40.732006,-73.95795,FRANKLIN STREET,INDIA STREET,,1,1,0,0,0,0,1,1,2020-07,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020-07-15,09:52:00,11212.0,40.66241,-73.90987,CHESTER STREET,LIVONIA AVENUE,,2,1,0,1,0,0,2,0,2020-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020-07-11,20:18:00,11234.0,40.58993,-73.90059,,,3159 FLATBUSH AVENUE,4,3,0,0,0,0,4,3,2020-07,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020-07-07,09:10:00,11691.0,40.59951,-73.749794,CAFFREY AVENUE,NEW HAVEN AVENUE,,0,1,0,1,0,0,0,0,2020-07,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2020-07-06,10:43:00,11208.0,40.68666,-73.8795,,,670 JAMAICA AVENUE,0,1,0,0,0,0,0,1,2020-07,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020-07-05,19:19:00,11210.0,40.62573,-73.9564,OCEAN AVENUE,AVENUE J,,1,1,0,1,0,0,1,0,2020-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020-06-30,18:38:00,11207.0,40.657055,-73.89383,DE WITT AVENUE,MALTA STREET,,0,1,0,1,0,0,0,0,2020-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020-06-30,18:24:00,10474.0,40.81005,-73.88724,OAK POINT AVENUE,MANIDA STREET,,0,1,0,0,0,0,0,1,2020-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
